"Date","Time","Open","High","Low","Close","Total Ticks"
01/03/2005,22:00:00,1.34637,1.34947,1.32497,1.32797,7189
01/04/2005,22:00:00,1.32797,1.33027,1.32127,1.32607,6773
01/05/2005,22:00:00,1.32607,1.32807,1.31547,1.31707,6279
01/06/2005,22:00:00,1.31707,1.33237,1.30237,1.30437,7166
01/08/2005,22:00:00,1.30437,1.30617,1.30437,1.30607,560
01/09/2005,22:00:00,1.30607,1.31227,1.30507,1.30737,6029
01/10/2005,22:00:00,1.30737,1.31707,1.30657,1.31047,7447
01/11/2005,22:00:00,1.31047,1.32917,1.30817,1.32547,7555
01/12/2005,22:00:00,1.32547,1.32657,1.31917,1.32237,6436
01/13/2005,22:00:00,1.32237,1.32237,1.30567,1.31027,9493
01/15/2005,22:00:00,1.31027,1.31067,1.30957,1.31047,204
01/16/2005,22:00:00,1.31047,1.31277,1.30607,1.30667,4656
01/17/2005,22:00:00,1.30667,1.30757,1.29947,1.30187,6117
01/18/2005,22:00:00,1.30187,1.31177,1.29627,1.30097,5841
01/19/2005,22:00:00,1.30097,1.30237,1.29217,1.29607,6499
01/20/2005,22:00:00,1.29607,1.30667,1.29317,1.30447,6171
01/22/2005,22:00:00,1.30447,1.30497,1.30377,1.30387,403
01/23/2005,22:00:00,1.30387,1.30997,1.30287,1.30587,5143
01/24/2005,22:00:00,1.30587,1.30747,1.29447,1.29737,6452
01/25/2005,22:00:00,1.29737,1.31077,1.29657,1.30727,6435
01/26/2005,22:00:00,1.30727,1.31227,1.30097,1.30437,5847
01/27/2005,22:00:00,1.30437,1.30797,1.29857,1.30457,6694
01/29/2005,22:00:00,1.30457,1.30467,1.30237,1.30307,537
01/30/2005,22:00:00,1.30307,1.30587,1.29737,1.30367,5322
01/31/2005,22:00:00,1.30367,1.30657,1.30007,1.30447,4227
02/01/2005,22:00:00,1.30447,1.30927,1.30087,1.30257,4681
02/02/2005,22:00:00,1.30257,1.30357,1.29407,1.29737,5353
02/03/2005,22:00:00,1.29737,1.30407,1.28667,1.28727,5340
